
[http://www.badstore.net/ BadStore]	Perl(CGI)				
[http://code.google.com/p/bodgeit/ BodgeIt Store ]	Java	[http://code.google.com/p/bodgeit/downloads/list download]			
[http://sechow.com/bricks/index.html Bricks ]	PHP	[http://sechow.com/bricks/download.html download] [http://sechow.com/bricks/docs/ docs]	OWASP		
[http://sourceforge.net/projects/thebutterflytmp/files/ButterFly%20Project/ Butterfly Security Project]	PHP	[http://sourceforge.net/projects/thebutterflytmp/files/ download]		Last updated in 2008	
[http://www.itsecgames.com/ bWAPP ]	PHP	[http://sourceforge.net/projects/bwapp/files/ download] [http://itsecgames.blogspot.be/2013/01/bwapp-installation.html docs]			
[https://github.com/fridaygoldsmith/bwa_cyclone_transfers Cyclone Transfers ]	Ruby on Rails				
[https://github.com/quantumfoam/DVNA/ Damn Vulnerable Node Application - DVNA ]	Node.js	[https://github.com/quantumfoam/DVNA/ download]	Claudio Lacayo		
[http://www.dvwa.co.uk/ Damn Vulnerable Web Application - DVWA ]	PHP	[http://code.google.com/p/dvwa/downloads/list download]	RandomStorm		
[http://dvws.secureideas.net/ Damn Vulnerable Web Services - DVWS ]	PHP	[http://dvws.secureideas.net/downloads/files/dvws.tgz download]	Secure Ideas		
[http://google-gruyere.appspot.com/ Gruyere ]	Python	[http://google-gruyere.appspot.com/gruyere-code.zip download]	Google		
[https://www.owasp.org/index.php/OWASP_Hackademic_Challenges_Project Hackademic Challenges Project ]	PHP	[https://code.google.com/p/owasp-hackademic-challenges/ download]	OWASP		
[http://www.mcafee.com/us/downloads/free-tools/hacme-bank-android.aspx Hacme Bank - Android]			McAfee / Foundstone		
[http://www.mcafee.com/us/downloads/free-tools/hacme-bank.aspx Hacme Bank ]	.NET	[http://www.mcafee.com/apps/free-tools/termsofuse.aspx?url=/us/downloads/free-tools/hacme-bank.aspx download]	McAfee / Foundstone		
[http://www.mcafee.com/us/downloads/free-tools/hacmebooks.aspx Hacme Books ]	Java	[http://www.mcafee.com/apps/free-tools/termsofuse.aspx?url=/us/downloads/free-tools/hacmebooks.aspx download]	McAfee / Foundstone		
[http://www.mcafee.com/us/downloads/free-tools/hacme-casino.aspx Hacme Casino ]	Ruby on Rails	[http://www.mcafee.com/apps/free-tools/termsofuse.aspx?url=/us/downloads/free-tools/hacme-casino.aspx download]	McAfee / Foundstone		
[http://www.mcafee.com/us/downloads/free-tools/hacmeshipping.aspx Hacme Shipping ]	ColdFusion	[http://www.mcafee.com/apps/free-tools/termsofuse.aspx?url=/us/downloads/free-tools/hacmeshipping.aspx download]	McAfee / Foundstone		
[http://www.mcafee.com/us/downloads/free-tools/hacmetravel.aspx Hacme Travel ]	C++	[http://www.mcafee.com/apps/free-tools/termsofuse.aspx?url=/us/downloads/free-tools/hacmetravel.aspx download]	McAfee / Foundstone		
[http://hackxor.sourceforge.net/cgi-bin/index.pl hackxor]				First 2 levels online, rest offline	
[https://www.owasp.org/index.php/OWASP_Juice_Shop_Project Juice Shop]	Javascript	[https://github.com/bkimminich/juice-shop download]	OWASP		
[http://sourceforge.net/projects/lampsecurity/ LampSecurity]	PHP				
[http://www.irongeek.com/i.php?page=mutillidae/mutillidae-deliberately-vulnerable-php-owasp-top-10 Mutillidae ]	PHP	[http://www.irongeek.com/mutillidae/ download]			
[https://github.com/jerryhoff/WebGoat.NET .NET Goat ]	C#	[https://github.com/jerryhoff/WebGoat.NET git repository]	OWASP		
[https://www.owasp.org/index.php/OWASP_Node_js_Goat_Project NodeGoat ]	Node.js	[https://github.com/OWASP/NodeGoat git repository]	OWASP		
[http://peruggia.sourceforge.net/ Peruggia ]	PHP	[http://sourceforge.net/projects/peruggia/files/ download]			
[https://code.google.com/p/puzzlemall/ Puzzlemall ]	Java	[https://code.google.com/p/puzzlemall/downloads/list download] [https://code.google.com/p/puzzlemall/downloads/list docs]			
[https://www.owasp.org/index.php/OWASP_Rails_Goat_Project Rails Goat ]	Ruby on Rails	[https://github.com/OWASP/railsgoat/archive/master.zip download] [http://railsgoat.cktricky.com/getting_started.html docs]	OWASP		
[http://suif.stanford.edu/%7Elivshits/securibench/ SecuriBench]	Java		Stanford		
[http://suif.stanford.edu/%7Elivshits/work/securibench-micro/ SecuriBench Micro]	Java	[http://suif.stanford.edu/~livshits/securibench/download.html download]	Stanford		
