
[http://www.badstore.net/ BadStore ]	ISO	[http://www.badstore.net/register.htm download]			
[http://sourceforge.net/projects/bwapp/files/bee-box/ Bee-Box ]	bWAPP VMware				
[http://code.google.com/p/owaspbwa/wiki/ProjectSummary Broken Web Applications Project (BWA) ]	VMware	[http://code.google.com/p/owaspbwa/wiki/Downloads download]	OWASP		
[https://bechtsoudis.com/work-stuff/challenges/drunk-admin-web-hacking-challenge/ Drunk Admin Web Hacking Challenge ]	VMware	[http://bechtsoudis.com/data/challenges/drunk_admin_hacking_challenge.zip download]			
[http://exploit.co.il/projects/vuln-web-app/ Exploit.co.il Vuln Web App ]	VMware	[http://sourceforge.net/projects/exploitcoilvuln/files/ download]			
[http://sourceforge.net/projects/null-gameover/ GameOver ]	VMware	[http://sourceforge.net/projects/null-gameover/files/ download]			
[http://hackxor.sourceforge.net/cgi-bin/index.pl Hackxor ]	VMware	[http://sourceforge.net/projects/hackxor/files/ download] [http://hackxor.sourceforge.net/cgi-bin/hints.pl hints&amp;tips]			
[http://ninja-sec.com/index.php/hacme-bank-prebuilt-vmware-image-ninja-sec-com/ Hacme Bank Prebuilt&nbsp;VM ]	VMware	[http://dc121.4shared.com/download/wwPhUxMQ/hackme_bank_vm_Ninja-Sec.zip download]			
[http://www.kioptrix.com/blog/?p=604 Kioptrix4 ]	VMware &amp; Hyper-V	[http://www.kioptrix.com/dlvm/Kioptrix4_vmware.rar download]			
[http://sourceforge.net/projects/lampsecurity/ LAMPSecurity ]	VMware	[http://sourceforge.net/projects/lampsecurity/files/ download] [http://sourceforge.net/projects/lampsecurity/files/Documentation/ doc]			
[https://community.rapid7.com/docs/DOC-1875 Metasploitable 2 ]	VMware	[https://sourceforge.net/projects/metasploitable/files/Metasploitable2/ download]			
[https://github.com/rapid7/metasploitable3/wiki/Vulnerabilities Metasploitable 3 ]	VMware	[https://github.com/rapid7/metasploitable3 download]			
[http://www.bonsai-sec.com/en/research/moth.php Moth ]	VMware	[http://sourceforge.net/projects/w3af/files/moth/moth/ download]			
[https://www.pentesterlab.com/exercises/ PentesterLab&nbsp;- The Exercises ]	ISO &amp; PDF				
[http://phdays.blogspot.com.es/2012/05/once-again-about-remote-banking.html PHDays I-Bank ]	VMware	[http://downloads.phdays.com/phdays_ibank_vm.zip download]			
[http://www.samurai-wtf.org/ Samurai WTF ]	ISO - list	[http://sourceforge.net/projects/samurai/files/ download]			
[http://sg6-labs.blogspot.com/2007/12/secgame-1-sauron.html Sauron&nbsp;]	Quemu	[http://sg6-labs.blogspot.com/search/label/SecGame solutions]			
[http://sourceforge.net/projects/virtualhacking/ Virtual Hacking Lab ]	ZIP	[http://sourceforge.net/projects/virtualhacking/files/ download]			
[http://www.mavensecurity.com/web_security_dojo/ Web Security Dojo ]	VMware, VirtualBox	[http://sourceforge.net/projects/websecuritydojo/files/ download]			
[http://www.ethicalhack3r.co.uk/wordpress-cd/ WordPress CD]	VirtualBox	[http://www.ethicalhack3r.co.uk/wpcd/WPCD.ova download]	ethicalhack3r	[http://www.randomstorm.com/wpscan-security-tool.php WPScan]	
[http://xxe.sourceforge.net/ XXE ]	VMware	[http://sourceforge.net/projects/xxe/files/ download]			
